,level_0_x,index_x,job,sex_x,year_x,count_x,perc_x,together_x,level_0_y,index_y,sex_y,year_y,count_y,perc_y,together_y
104,3097,6187,Salesman,men,1930,1830029,0.037554327733189,0.051880994642826,3104,6194,men,2000,4087696,0.024313816259756003,0.04719185675446601
105,1694,3374,Laborer,men,2000,4746546,0.028232688368333002,0.033143457134458,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
106,1693,3373,Laborer,men,1990,5021782,0.033674830292979005,0.040897382389824,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
107,1692,3372,Laborer,men,1980,4605256,0.035837776594474,0.042353593778215,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
108,1691,3371,Laborer,men,1970,4034593,0.036925922001949,0.041272289764781006,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
109,1690,3370,Laborer,men,1960,3563009,0.040997714075415005,0.04342062337908101,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
110,1689,3369,Laborer,men,1950,3170293,0.05219369671353401,0.05412272587191801,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
111,1682,3362,Laborer,men,1870,1134710,0.08642749861585401,0.08926045539205,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
112,1688,3368,Laborer,men,1940,4600712,0.088422046608619,0.09099930413009001,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
113,1685,3365,Laborer,men,1910,3523434,0.090509462609554,0.093679960457142,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
114,1687,3367,Laborer,men,1930,4421845,0.09074141246688701,0.09490166832149301,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
115,1686,3366,Laborer,men,1920,3861050,0.09195502107328801,0.09688492288941301,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
116,1681,3361,Laborer,men,1860,826978,0.09804783581210001,0.10027418555886401,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
117,1683,3363,Laborer,men,1880,1851194,0.10111789936278301,0.10971611680444202,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
118,1684,3364,Laborer,men,1900,3134854,0.10558700503281,0.110132779400689,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
119,1680,3360,Laborer,men,1850,620277,0.11473433660081502,0.11536990293740301,1694,3374,men,2000,4746546,0.028232688368333002,0.033143457134458
120,2326,4651,Operative,men,1860,247834,0.029383595864286002,0.03806064520749,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
121,2339,4664,Operative,men,2000,5837694,0.034722890179867,0.059704719930965,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
122,2329,4654,Operative,men,1900,1052589,0.035452917437456,0.052053011793185,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
123,2325,4650,Operative,men,1850,192143,0.035541217290807,0.035765404252374004,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
124,2338,4663,Operative,men,1990,5338347,0.035797637028058,0.066880405394426,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
125,2332,4657,Operative,men,1930,2144940,0.044016668439695004,0.070055872566517,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
126,2330,4655,Operative,men,1910,1753668,0.045047969757790005,0.069280402514305,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
127,2337,4662,Operative,men,1980,5807712,0.045195204171288,0.08917519004521801,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
128,2327,4652,Operative,men,1870,609233,0.046403472485686006,0.06028179214030801,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
129,2331,4656,Operative,men,1920,1963909,0.04677258607918,0.07314821216485,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
130,2328,4653,Operative,men,1880,989348,0.05404122501411,0.070628066436728,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
131,2336,4661,Operative,men,1970,5939103,0.054356623862566004,0.11050804687398001,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
132,2335,4660,Operative,men,1960,4986070,0.057372145908137,0.115410943110275,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
133,2333,4658,Operative,men,1940,2999021,0.05763881213217101,0.09709702108598901,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
134,2334,4659,Operative,men,1950,4057324,0.06679721348296401,0.10922798547805901,2339,4664,men,2000,5837694,0.034722890179867,0.059704719930965
135,1878,3753,Manager / Owner,men,1880,629424,0.034381071183528004,0.036320190166940006,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
136,1877,3752,Manager / Owner,men,1870,493343,0.037576474561466004,0.038961115128075006,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
137,1886,3761,Manager / Owner,men,1970,4393393,0.040209777601337,0.049340625957791005,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
138,1875,3750,Manager / Owner,men,1850,224003,0.041434448805279,0.041752047000832,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
139,1879,3754,Manager / Owner,men,1900,1277509,0.043028590553965004,0.046010930835404,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
